Category: All categories

Week,taylor swift: (United States),Travis Kelce: (United States),NFL: (United States)
2022-02-20,1,<1,5
2022-02-27,1,<1,6
2022-03-06,1,<1,9
2022-03-13,1,<1,11
2022-03-20,1,<1,9
2022-03-27,1,<1,7
2022-04-03,1,<1,7
2022-04-10,1,<1,6
2022-04-17,1,<1,7
2022-04-24,1,<1,31
2022-05-01,2,<1,8
2022-05-08,1,<1,6
2022-05-15,2,<1,4
2022-05-22,1,<1,4
2022-05-29,1,<1,3
2022-06-05,1,<1,3
2022-06-12,1,<1,3
2022-06-19,1,<1,4
2022-06-26,1,<1,3
2022-07-03,1,<1,4
2022-07-10,1,<1,4
2022-07-17,1,<1,4
2022-07-24,1,<1,5
2022-07-31,1,<1,10
2022-08-07,1,<1,14
2022-08-14,1,<1,16
2022-08-21,1,<1,17
2022-08-28,3,<1,16
2022-09-04,1,<1,25
2022-09-11,1,<1,45
2022-09-18,1,<1,42
2022-09-25,1,<1,40
2022-10-02,2,<1,40
2022-10-09,2,<1,41
2022-10-16,6,<1,38
2022-10-23,5,<1,38
2022-10-30,7,<1,40
2022-11-06,4,<1,33
2022-11-13,15,<1,37
2022-11-20,5,<1,48
2022-11-27,3,<1,34
2022-12-04,2,<1,36
2022-12-11,2,<1,41
2022-12-18,2,<1,55
2022-12-25,2,<1,45
2023-01-01,2,<1,55
2023-01-08,2,<1,62
2023-01-15,2,<1,83
2023-01-22,2,<1,58
2023-01-29,2,2,37
2023-02-05,3,1,11
2023-02-12,2,4,17
2023-02-19,2,<1,6
2023-02-26,2,<1,7
2023-03-05,2,1,8
2023-03-12,5,<1,11
2023-03-19,6,<1,7
2023-03-26,5,<1,6
2023-04-02,5,<1,6
2023-04-09,7,<1,7
2023-04-16,5,<1,7
2023-04-23,5,<1,35
2023-04-30,6,<1,8
2023-05-07,8,<1,7
2023-05-14,8,<1,4
2023-05-21,8,<1,4
2023-05-28,7,<1,3
2023-06-04,7,<1,4
2023-06-11,6,<1,3
2023-06-18,6,<1,3
2023-06-25,6,<1,4
2023-07-02,8,<1,3
2023-07-09,8,<1,4
2023-07-16,6,<1,5
2023-07-23,6,<1,6
2023-07-30,9,<1,9
2023-08-06,12,<1,14
2023-08-13,6,<1,16
2023-08-20,5,<1,17
2023-08-27,6,<1,16
2023-09-03,5,3,27
2023-09-10,6,2,49
2023-09-17,11,3,45
2023-09-24,14,12,46
2023-10-01,11,6,42
2023-10-08,11,4,42
2023-10-15,12,3,41
2023-10-22,12,4,38
2023-10-29,8,2,39
2023-11-05,7,2,39
2023-11-12,11,3,41
2023-11-19,10,3,58
2023-11-26,7,2,39
2023-12-03,8,2,38
2023-12-10,9,2,51
2023-12-17,7,2,54
2023-12-24,7,2,68
2023-12-31,7,2,59
2024-01-07,7,2,68
2024-01-14,7,3,100
2024-01-21,9,3,63
2024-01-28,13,4,37
2024-02-04,19,3,13
2024-02-11,22,12,20
